70065900;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco U ; Ministério de Minas e Energia
70067900;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco E ; Ministério da Ciência e Tecnologia
70067901;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco E 6º Andar ; Ministério da Integração Nacional
70068900;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco B ; Ministério da Cultura
70068901;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco B ; Ministério do Meio Ambiente
70070010;Brasília/DF;Asa Sul;SAUS Quadra 1;
70070020;Brasília/DF;Asa Sul;SAUS Quadra 2;
70070030;Brasília/DF;Asa Sul;SAUS Quadra 3;
70070040;Brasília/DF;Asa Sul;SAUS Quadra 4;
70070050;Brasília/DF;Asa Sul;SAUS Quadra 5;
70070060;Brasília/DF;Asa Sul;SAUS Quadra 6;
70070080;Brasília/DF;Asa Sul;Praça dos Tribunais Superiores;
70070110;Brasília/DF;Asa Sul;SBS Quadra 1;
70070120;Brasília/DF;Asa Sul;SBS Quadra 2;
70070130;Brasília/DF;Asa Sul;SBS Quadra 3;
70070140;Brasília/DF;Asa Sul;SBS Quadra 4;
70070150;Brasília/DF;Zona Cívico-Administrativa;SCTS;
70070200;Brasília/DF;Zona Cívico-Administrativa;SCTN (Setor Cultural Norte);
70070300;Brasília/DF;Zona Cívico-Administrativa;Esplanada da Torre;
70070350;Brasília/DF;Zona Cívico-Administrativa;SDC (Setor de Difusão Cultural);
70070500;Brasília/DF;Zona Cívico-Administrativa;Praça do Buriti;
70070550;Brasília/DF;Zona Cívico-Administrativa;Praça Municipal;
70070600;Brasília/DF;Zona Cívico-Administrativa;SAFS Quadra (Setor de Administração Federal Sul);
70070700;Brasília/DF;Asa Norte;SRPN - Centro Poliesportivo Ayrton Senna;
70070701;Brasília/DF;Asa Norte;SRPN - Estádio Mané Garrincha;
70070705;Brasília/DF;Asa Norte;Setor SRPN - Ginásio de Esportes Nilson Nelson;
70070707;Brasília/DF;Asa Norte;SRPN - Centro Aquático Ginásio Claudio Coutinho;
70070710;Brasília/DF;Asa Norte;SRPN - Autódromo Internacional Nelson Piquet;
70070730;Brasília/DF;Asa Norte;SRPN - Camping;
70070750;Brasília/DF;Asa Norte;Setor SRPN Conjunto 1;
70070770;Brasília/DF;Asa Norte;Setor SRPN Conjunto 2;
70070778;Brasília/DF;Asa Norte;Setor SRPN Conjunto 2 Bloco 2-D;
70070900;Brasília/DF;Asa Sul;Praça dos Tribunais Superiores Bloco A ; Tribunal Regional Federal (TRF)
70070901;Brasília/DF;Asa Sul;SAUS Quadra 4 Bloco D Lote 7 ; Justiça Federal
70070902;Brasília/DF;Asa Sul;SBS Quadra 2 Bloco B Lote 18 ; Edifício Marco
70070903;Brasília/DF;Asa Sul;SBS Quadra 2 Bloco D Lote 16 ; Edifício Adriana
70070904;Brasília/DF;Asa Sul;SBS Quadra 2 Bloco S Lote 1 ; Edifício Empire Center
70070905;Brasília/DF;Asa Sul;SAUS Quadra 1 Bloco A ; Edifício Darcy Ribeiro
70070906;Brasília/DF;Asa Sul;SAUS Quadra 2 Bloco E Edifício Siderbrás ; Advogacia Geral da União (AGU)
70070908;Brasília/DF;Asa Sul;SAUS Quadra 4 Bloco B Lote 7A ; Edifício CNTEEC
70070910;Brasília/DF;Asa Sul;SAUS Quadra 5 Bloco F ; Edifício Assistência Brasileira de Municípios
70070911;Brasília/DF;Asa Sul;SAUS Quadra 5 Bloco E Lote 8 ; Ministério Público e Federal
70070912;Brasília/DF;Asa Sul;SAUS Quadra 5 Bloco H Lote 6 ; Instituto Brasileiro de Informação em Ciência e Tecnologia (IBICT)
70070913;Brasília/DF;Asa Sul;SAUS Quadra 5 Bloco N Lote 2 ; Ordem dos Advogados do Brasil (OAB)
70070914;Brasília/DF;Asa Sul;SAUS Quadra 5 Bloco H ; Superintendência do Ibama - DF
70070915;Brasília/DF;Asa Sul;SAUS Quadra 6 Bloco K ; Edifício Belvedere
70070916;Brasília/DF;Asa Sul;SAUS Quadra 6 Bloco J ; Edifício Camilo Cola
70070917;Brasília/DF;Asa Sul;SAUS Quadra 6 Bloco O ; Ministério da Fazenda (Órgãos Centrais)
70070918;Brasília/DF;Asa Sul;SAUS Quadra 5 Lote 4/5 ; Edifício Tower
70070919;Brasília/DF;Asa Sul;SAUS Quadra 2 Lote 1-A ; Instituto Nacional da Propriedade Indústrial (INPI)
70070920;Brasília/DF;Asa Sul;SAUS Quadra 5 Bloco J Lote 3 ; Conselho Federal de Contabilidade (CFC)
70070921;Brasília/DF;Asa Sul;SAUS Quadra 5 Bloco I Lotes 5/3a ; Conselho Federal de Química (CFQ)
70070922;Brasília/DF;Asa Sul;SAUS Quadra 4 Bloco L ; Ministério Público do Trabalho
70070923;Brasília/DF;Asa Sul;SAUS Quadra 4 Bloco N ; Ministério Saúde
70070924;Brasília/DF;Asa Sul;SAUS Quadra 4 Bloco K ; Instituto Nacional do Seguro Social - Gerência Executiva DF
70070925;Brasília/DF;Asa Sul;SAUS Quadra 3 Bloco J ; Ministério Público Militar
70070926;Brasília/DF;Asa Sul;SAUS Quadra 4 Bloco O Lote 7J ; Edifício Sede da Segunda Justiça Federal
70070927;Brasília/DF;Asa Sul;SBS Quadra 1 Bloco L ; Edifício Planalto
70070928;Brasília/DF;Asa Sul;SBS Quadra 2 Bloco L ; Edifício Lino Martins Pinto
70070929;Brasília/DF;Asa Sul;SBS Quadra 2 Bloco F ; Fundo Nacional de Desenvolvimento da Educação
70070930;Brasília/DF;Asa Sul;SBS Quadra 4 Lote 03/04 ; Edifício Centro Cultural da Caixa Econômica Federal
70070931;Brasília/DF;Asa Sul;SAUS Quadra 1 Bloco E e F ; Dataprev
70070932;Brasília/DF;Asa Sul;SAUS Quadra 1 Bloco L ; Conselho Federal de Administração (CFA)
70070933;Brasília/DF;Asa Sul;SAUS Quadra 2 Bloco G Lote 8 ; Justiça Federal - Sede I
